10250 -0.0
10550 0.01
10710 0.021
11740 0.029
10410 0.04
10160 0.058
10160 0.058
10570 0.066
10120 0.082
10100 0.085
10090 0.1
10040 0.106
10030 0.117
9670 0.136
9670 0.136
9670 0.136
10020 0.174
10020 0.174
10020 0.174
9240 0.195
10010 0.201
8860 0.215
9650 0.22
9350 0.231
9680 0.24
9260 0.25
9360 0.26
9050 0.27
8780 0.28
8960 0.29
8600 0.3
9570 0.309
8410 0.319
9130 0.33
8440 0.34
8390 0.35
8210 0.36
8640 0.37
8120 0.38
7880 0.39
7070 0.4
9720 0.41
7670 0.42
6120 0.43
6180 0.441
5950 0.45
6050 0.46
6080 0.47
6140 0.481
5130 0.49
6640 0.5
6830 0.51
6630 0.52
5440 0.53
5840 0.541
6280 0.548
5620 0.559
5630 0.571
5540 0.579
5600 0.588
5230 0.601
2210 0.611
5240 0.62
4730 0.63
5310 0.641
1260 0.651
3910 0.66
1640 0.67
1630 0.68
2320 0.69
3580 0.7
4140 0.71
1040 0.72
2020 0.73
580 0.74
1740 0.75
2250 0.76
1370 0.77
760 0.78
270 0.79
0 0.8
3090 0.81
690 0.82
1310 0.83
390 0.84
890 0.851
3300 0.86
3120 0.87
240 0.881
150 0.891
20 0.901
30 0.912
80 0.917
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
90 0.925
